#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0001,Bulbasaur,Grass Poison,118,111,128,20%,10%,TackleVine Whip,Power WhipSeed BombSludge BombFrustration (Shadow)Return (Purified)
0002,Ivysaur,Grass Poison,151,143,155,10%,7%,Razor LeafVine Whip,Power WhipSludge BombSolar BeamFrustration (Shadow)Return (Purified)
0003,Venusaur,Grass Poison,198,189,190,5%,5%,Razor LeafVine Whip,Petal BlizzardSludge BombSolar BeamFrenzy Plant (Community Day)Frustration (Shadow)Return (Purified)
0003,Venusaur Mega Venusaur,Grass Poison,241,246,190,5%,5%,,
0004,Charmander,Fire,116,93,118,20%,10%,EmberScratch,Flame BurstFlame ChargeFlamethrowerFrustration (Shadow)Return (Purified)
0005,Charmeleon,Fire,158,126,151,10%,7%,EmberFire FangScratch (legacy),Fire PunchFlame BurstFlamethrowerFrustration (Shadow)Return (Purified)
0006,Charizard,Fire Flying,223,173,186,5%,5%,Air SlashFire SpinEmber (legacy)Wing Attack (legacy)Dragon Breath (Community Day),Dragon ClawFire BlastOverheatFlamethrower (legacy)Blast Burn (Community Day)Frustration (Shadow)Return (Purified)
0006,Charizard Mega Charizard X,Fire Dragon,273,213,186,5%,5%,,
0006,Charizard Mega Charizard Y,Fire Flying,319,212,186,5%,5%,,
0007,Squirtle,Water,94,121,127,20%,10%,BubbleTackle,Aqua JetAqua TailWater PulseFrustration (Shadow)Return (Purified)
0008,Wartortle,Water,126,155,153,10%,7%,BiteWater Gun,Aqua JetHydro PumpIce BeamFrustration (Shadow)Return (Purified)
0009,Blastoise,Water,171,207,188,5%,5%,BiteWater Gun,Flash CannonHydro PumpIce BeamSkull BashHydro Cannon (Community Day)Frustration (Shadow)Return (Purified)
0009,Blastoise Mega Blastoise,Water,264,237,188,5%,5%,,
0010,Caterpie,Bug,55,55,128,50%,20%,Bug BiteTackle,Struggle
0011,Metapod,Bug,45,80,137,25%,9%,Bug BiteTackle,Struggle
0012,Butterfree,Bug Flying,167,137,155,12.5%,6%,ConfusionStruggle BugBug Bite (legacy),Bug BuzzPsychicSignal Beam
0013,Weedle,Bug Poison,63,50,120,50%,20%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Purified)
0014,Kakuna,Bug Poison,46,75,128,25%,9%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Purified)
0015,Beedrill,Bug Poison,169,130,163,12.5%,6%,InfestationPoison JabBug Bite (legacy),Aerial AceFell StingerSludge BombX-ScissorDrill Run (Community Day)Frustration (Shadow)Return (Purified)
0015,Beedrill Mega Beedrill,Bug Poison,303,148,163,12.5%,6%,,
0016,Pidgey,Normal Flying,85,73,120,50%,20%,Quick AttackTackle,Aerial AceAir CutterTwister
0017,Pidgeotto,Normal Flying,117,105,160,25%,9%,Steel WingWing Attack,Aerial AceAir CutterTwister
0018,Pidgeot,Normal Flying,166,154,195,12.5%,6%,Air SlashSteel WingGust (legacy)Wing Attack (legacy),Aerial AceBrave BirdFeather DanceHurricaneAir Cutter (legacy)
0018,Pidgeot Mega Pidgeot,Normal Flying,280,175,195,12.5%,6%,,
0019,Rattata,Normal,103,70,102,50%,20%,Quick AttackTackle,Body SlamDigHyper FangFrustration (Shadow)Return (Purified)
0019,Rattata Alolan Rattata,Dark Normal,103,70,102,50%,20%,Quick AttackTackle,CrunchHyper FangShadow BallFrustration (Shadow)Return (Purified)
0020,Raticate,Normal,161,139,146,20%,7%,BiteQuick Attack,DigHyper BeamHyper FangFrustration (Shadow)Return (Purified)
0020,Raticate Alolan Raticate,Dark Normal,135,154,181,20%,7%,BiteQuick Attack,CrunchHyper BeamHyper FangFrustration (Shadow)Return (Purified)
0021,Spearow,Normal Flying,112,60,120,50%,15%,PeckQuick Attack,Aerial AceDrill PeckSky AttackTwister (legacy)
0022,Fearow,Normal Flying,182,133,163,20%,7%,PeckSteel Wing,Aerial AceDrill RunSky AttackTwister (legacy)
0023,Ekans,Poison,110,97,111,50%,15%,AcidPoison Sting,Poison FangSludge BombWrapGunk Shot (legacy)Frustration (Shadow)Return (Purified)
0024,Arbok,Poison,167,153,155,20%,7%,AcidBiteDragon Tail,Acid SprayDark PulseGunk ShotSludge WaveFrustration (Shadow)Return (Purified)
0025,Pikachu,Electric,112,96,111,20%,10%,Quick AttackThunder ShockPresent (legacy),DischargeThunderboltWild ChargeThunder (legacy)Surf (Community Day)
0025,Pikachu Pikachu Libre,Electric,112,96,111,20%,0%,CharmThunder Shock,Flying PressPlay RoughThunder Punch
0025,Pikachu Flying,Electric,112,96,111,20%,10%,PresentQuick AttackThunder Shock,DischargeFlyThunderboltWild Charge
0025,Pikachu Pop Star,Electric,112,96,111,20%,0%,CharmThunder Shock,Draining KissPlay RoughThunder Punch
0025,Pikachu Rock Star,Electric,112,96,111,20%,0%,CharmThunder Shock,Meteor MashPlay RoughThunder Punch
0026,Raichu,Electric,193,151,155,10%,6%,CharmSparkThunder ShockVolt Switch,Brick BreakSkull BashThunder PunchTrailblazeWild ChargeThunder (legacy)
0026,Raichu Alolan Raichu,Electric Psychic,201,154,155,10%,6%,SparkThunder ShockVolt Switch,Grass KnotPsychicThunder PunchTrailblazeWild Charge
0027,Sandshrew,Ground,126,120,137,50%,10%,Mud ShotScratch,DigRock SlideSand TombRock Tomb (legacy)Frustration (Shadow)Return (Purified)
0027,Sandshrew Alolan Sandshrew,Ice Steel,125,129,137,50%,10%,Metal ClawPowder Snow,BlizzardGyro BallNight SlashFrustration (Shadow)Return (Purified)
0028,Sandslash,Ground,182,175,181,20%,6%,Metal ClawMud Shot,BulldozeEarthquakeRock TombScorching SandsNight Slash (Community Day)Frustration (Shadow)Return (Purified)
0028,Sandslash Alolan Sandslash,Ice Steel,177,195,181,20%,6%,Metal ClawPowder SnowShadow Claw (Community Day),Aerial AceBlizzardBulldozeDrill RunGyro BallIce PunchFrustration (Shadow)Return (Purified)
0029,Nidoran♀,Poison,86,89,146,50%,15%,BitePoison Sting,Body SlamPoison FangSludge BombFrustration (Shadow)Return (Purified)
0030,Nidorina,Poison,117,120,172,25%,7%,BitePoison Sting,DigPoison FangSludge BombThunderboltFrustration (Shadow)Return (Purified)
0031,Nidoqueen,Poison Ground,180,173,207,12.5%,5%,BitePoison Jab,Earth PowerEarthquakePoison FangSludge WaveStone EdgeFrustration (Shadow)Return (Purified)
0032,Nidoran♂,Poison,105,76,130,50%,15%,PeckPoison Sting,Body SlamHorn AttackSludge BombFrustration (Shadow)Return (Purified)
0033,Nidorino,Poison,137,111,156,25%,7%,Poison JabPoison Sting,DigHorn AttackIce BeamSludge BombFrustration (Shadow)Return (Purified)
0034,Nidoking,Poison Ground,204,156,191,12.5%,5%,Double KickIron TailPoison JabFury Cutter (legacy),Earth PowerEarthquakeMegahornSand TombSludge WaveFrustration (Shadow)Return (Purified)
0035,Clefairy,Fairy,107,108,172,30%,10%,PoundZen Headbutt,Body SlamDisarming VoiceMoonblast
0036,Clefable,Fairy,178,162,216,10%,6%,Charge BeamCharmFairy WindZen HeadbuttPound (legacy),Dazzling GleamMeteor MashMoonblastPsychic
0037,Vulpix,Fire,96,109,116,30%,10%,EmberQuick Attack,Body SlamFlame ChargeFlamethrowerWeather Ball - FireFrustration (Shadow)Return (Purified)
0037,Vulpix Alolan Vulpix,Ice,96,109,116,30%,10%,Powder SnowZen Headbutt,BlizzardDark PulseIce BeamWeather Ball - IceFrustration (Shadow)Return (Purified)
