,ID,NAME,TYPE_ONE,TYPE_TWO,FAST_MOVE,FAST_MOVE_POWER,FAST_MOVE_TYPE,FAST_ENERGY_BOOST,FAST_MOVE_DURATION,CHARGE_MOVE,CHARGE_MOVE_POWER,CHARGED_MOVE_TYPE,CHARGE_MOVE_ENERGY_COST,CHARGE_MOVE_DURATION,DAMAGE WINDOW START
0,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
1,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
2,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
3,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
4,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
5,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
6,0001,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
7,0001,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
8,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
9,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
10,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
11,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
12,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
13,0001,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
14,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
15,0001,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
16,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
17,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
18,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
19,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
20,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
21,0002,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
22,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
23,0002,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
24,0002,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
25,0002,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
26,0002,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
27,0002,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
28,0002,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
29,0002,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
30,0002,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
31,0002,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
32,0003,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
33,0003,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Wave,110.0,Poison,100.0,3.2,2.0
34,0003,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
35,0003,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
36,0003,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
37,0003,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Wave,110.0,Poison,100.0,3.2,2.0
38,0003,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
39,0003,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
40,0003,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
41,0003,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
42,0003,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
43,0003,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
44,0003,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
45,0003,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
46,0003,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
47,0003,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
48,0003,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
49,0003,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
50,0003,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
51,0003,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
52,0004,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
53,0004,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
54,0004,Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
55,0004,Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
56,0004,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Charge,70.0,Fire,33.0,3.8,2.9
57,0004,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
58,0004,Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Charge,70.0,Fire,33.0,3.8,2.9
59,0004,Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
60,0004,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Charge,70.0,Fire,33.0,3.8,2.9
61,0004,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Charge,70.0,Fire,33.0,3.8,2.9
62,0004,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
63,0004,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
64,0004,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
65,0004,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
66,0004,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
67,0004,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
68,0005,Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Fire Punch,55.0,Fire,33.0,2.2,1.5
69,0005,Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
70,0005,Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Fire Punch,55.0,Fire,33.0,2.2,1.5
71,0005,Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Return,35.0,Normal,33.0,0.7,0.1
72,0005,Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flamethrower,70.0,Fire,50.0,2.2,1.5
73,0005,Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
74,0005,Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Fire Punch,55.0,Fire,33.0,2.2,1.5
75,0005,Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
76,0005,Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
77,0005,Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
78,0005,Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
79,0005,Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flame Burst,70.0,Fire,50.0,2.6,1.0
80,0005,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Frustration,10.0,Normal,33.0,2.0,1.0
81,0005,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Fire Punch,55.0,Fire,33.0,2.2,1.5
82,0005,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flame Burst,70.0,Fire,50.0,2.6,1.0
83,0005,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Fire Punch,55.0,Fire,33.0,2.2,1.5
84,0005,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
85,0005,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
86,0005,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
87,0005,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flamethrower,70.0,Fire,50.0,2.2,1.5
88,0005,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Fire Punch,55.0,Fire,33.0,2.2,1.5
89,0005,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
90,0005,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
91,0005,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
92,0006,Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
93,0006,Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Return,35.0,Normal,33.0,0.7,0.1
94,0006,Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
95,0006,Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
96,0006,Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Blast Burn,110.0,Fire,50.0,3.3,2.75
97,0006,Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Fire Blast,140.0,Fire,100.0,4.2,3.1
98,0006,Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Fire Blast,140.0,Fire,100.0,4.2,3.1
99,0006,Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Blast Burn,110.0,Fire,50.0,3.3,2.75
100,0006,Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
101,0006,Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Blast Burn,110.0,Fire,50.0,3.3,2.75
102,0006,Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Fire Blast,140.0,Fire,100.0,4.2,3.1
103,0006,Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Overheat,160.0,Fire,100.0,4.0,2.6
104,0006,Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
105,0006,Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Return,35.0,Normal,33.0,0.7,0.1
106,0006,Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Overheat,160.0,Fire,100.0,4.0,2.6
107,0006,Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Flamethrower,70.0,Fire,50.0,2.2,1.5
108,0006,Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
109,0006,Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
110,0006,Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Overheat,160.0,Fire,100.0,4.0,2.6
111,0006,Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Flamethrower,70.0,Fire,50.0,2.2,1.5
112,0006,Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Blast Burn,110.0,Fire,50.0,3.3,2.75
113,0006,Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Flamethrower,70.0,Fire,50.0,2.2,1.5
