,Unnamed: 0,ID,NAME,TYPE_ONE,TYPE_TWO,FAST_MOVE,FAST_MOVE_POWER,FAST_MOVE_TYPE,FAST_ENERGY_BOOST,FAST_MOVE_DURATION,CHARGE_MOVE,CHARGE_MOVE_POWER,CHARGED_MOVE_TYPE,CHARGE_MOVE_ENERGY_COST,CHARGE_MOVE_DURATION,DAMAGE WINDOW START
0,0,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
1,15,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
2,14,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
3,13,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
4,12,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
5,10,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
6,9,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
7,8,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
8,11,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
9,6,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
10,5,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
11,4,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
12,3,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
13,2,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
14,1,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
15,7,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
16,25,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
17,31,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
18,30,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
19,28,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
20,27,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
21,26,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
22,24,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
23,29,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
24,22,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
25,16,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
26,17,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
27,18,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
28,23,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
29,20,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
30,21,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
31,19,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
32,51,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
33,42,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
34,49,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Wave,110.0,Poison,100.0,3.2,2.0
35,48,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
36,47,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
37,46,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
38,45,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Wave,110.0,Poison,100.0,3.2,2.0
39,44,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
40,43,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
41,50,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
42,41,3,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
43,39,3,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
44,38,3,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
45,37,3,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
46,36,3,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
47,35,3,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
48,34,3,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
49,33,3,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
50,32,3,Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
51,40,3,Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
52,62,4,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
53,67,4,Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
