,ID,NAME,TYPE_ONE,TYPE_TWO,FAST_MOVE,FAST_MOVE_POWER,FAST_MOVE_TYPE,FAST_ENERGY_BOOST,FAST_MOVE_DURATION,CHARGE_MOVE,CHARGE_MOVE_POWER,CHARGED_MOVE_TYPE,CHARGE_MOVE_ENERGY_COST,CHARGE_MOVE_DURATION,DAMAGE WINDOW START
0,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Return,35.0,Normal,33.0,0.7,0.1
1,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
2,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
3,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
4,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
5,1,Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
6,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
7,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Seed Bomb,55.0,Grass,33.0,2.1,1.2
8,1,Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
9,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
10,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
11,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Power Whip,90.0,Grass,50.0,2.6,1.25
12,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Seed Bomb,55.0,Grass,33.0,2.1,1.2
13,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
14,1,Shadow Bulbasaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
15,1,Shadow Bulbasaur,Grass,Poison,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
16,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
17,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Return,35.0,Normal,33.0,0.7,0.1
18,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
19,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
20,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
21,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Return,35.0,Normal,33.0,0.7,0.1
22,2,Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
23,2,Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
24,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Power Whip,90.0,Grass,50.0,2.6,1.25
25,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
26,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
27,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
28,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Power Whip,90.0,Grass,50.0,2.6,1.25
29,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
30,2,Shadow Ivysaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
31,2,Shadow Ivysaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
32,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
33,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
34,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Wave,110.0,Poison,100.0,3.2,2.0
35,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
36,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
37,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
38,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Wave,110.0,Poison,100.0,3.2,2.0
39,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
40,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
